Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,saving_low,saving_med,saving_high,credit_low,credit_med,credit_high,rule_high_risk_1,rule_high_risk_2,rule_low_risk_1,rule_low_risk_2,rule_low_risk_3
0,67,male,2,own,,little,1169,6,radio/TV,0,1.0,0.0,0.0,1.0,0.5586458235125555,0.0,0.0,0.5586458235125555,0.0,0.0,0.0
1,22,female,2,own,little,moderate,5951,48,radio/TV,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,49,male,1,own,little,,2096,12,education,0,0.0,1.0,0.0,0.23427672931417534,0.91426105306828,0.0,0.0,0.0,0.0,0.23427672931417534,0.0
3,45,male,2,free,little,little,7882,42,furniture/equipment,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,53,male,2,free,little,little,4870,24,car,1,0.0,1.0,0.0,0.0,0.02157859441005905,1.0,0.0,0.0,0.0,0.0,0.0
5,35,male,1,free,,,9055,36,education,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,0,0.0,0.0,1.0,0.0,0.8022441738554735,0.31190440156593285,0.0,0.0,0.0,0.0,0.8022441738554735
7,35,male,3,rent,little,moderate,6948,36,car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,61,male,1,own,rich,,3059,12,radio/TV,0,0.0,0.0,1.0,0.0,0.7163134171990742,0.4474360910921578,0.0,0.0,0.0,0.0,0.7163134171990742
9,28,male,3,own,little,moderate,5234,30,car,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,25,female,2,rent,little,moderate,1295,12,car,1,0.0,1.0,0.0,1.0,0.6069818741317803,0.0,0.0,0.0,0.0,1.0,0.0
11,24,female,2,rent,little,little,4308,48,business,1,0.0,1.0,0.0,0.0,0.23717272494977548,1.0,0.0,0.0,0.0,0.0,0.0
12,22,female,2,own,little,moderate,1567,12,radio/TV,0,0.0,1.0,0.0,0.7887840662591362,0.7113263643574081,0.0,0.0,0.0,0.0,0.7887840662591362,0.0
13,60,male,1,own,little,little,1199,24,car,1,0.0,1.0,0.0,1.0,0.5701544069933233,0.0,0.0,0.0,0.0,1.0,0.0
14,28,female,2,rent,little,little,1403,15,car,0,0.0,1.0,0.0,0.9606918228923566,0.6484127746625442,0.0,0.0,0.0,0.0,0.9606918228923566,0.0
15,32,female,1,own,moderate,little,1282,24,radio/TV,1,0.0,0.0,1.0,1.0,0.6019948212901142,0.0,0.0,0.0,1.0,0.0,0.6019948212901142
16,53,male,2,own,,,2424,24,radio/TV,0,1.0,0.0,0.0,0.0,0.9599117675419923,0.06322795337272548,0.06322795337272548,0.9599117675419923,0.0,0.0,0.0
17,25,male,2,own,,little,8072,30,business,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
