sample_id,fuzzy_risk_score,actual_default,predicted_default
0,0.5,0,0
1,0.5,0,0
2,0.1365968955413004,0,0
3,0.5,0,0
4,0.15454378209844863,0,0
5,0.5,0,0
6,0.8541353383458649,0,0
7,0.14045718702027418,0,0
8,0.13333893028647129,1,0
9,0.13333333333333333,0,0
10,0.13333333333333333,0,0
11,0.13339372087326518,0,0
12,0.5,0,0
13,0.13333340448449404,0,0
14,0.5,0,0
15,0.1545344409830391,0,1
16,0.13467130287784126,0,0
17,0.13393458393458393,1,1
18,0.5,0,1
19,0.8573768519111569,0,0
20,0.1987297181829006,0,0
21,0.13340936624175026,0,0
22,0.8030453632230085,0,0
23,0.16419947733356843,0,0
24,0.15354496204625995,0,0
25,0.14031079643017697,0,0
26,0.13393458393458393,1,1
27,0.8520767386091131,0,1
28,0.1774424030329543,0,1
29,0.16964937283143972,0,0
30,0.13335819975339086,0,0
31,0.13333877806308028,0,0
32,0.1867030637592812,0,0
33,0.14049499919175892,0,0
34,0.5,1,0
35,0.13333333333333333,0,0
36,0.13429590715768394,0,0
37,0.13393458393458393,0,1
38,0.5,1,1
39,0.1355916892502258,1,0
40,0.8542201180158583,0,0
41,0.5,0,0
42,0.8654069035021419,1,1
43,0.17832560551601007,1,1
44,0.13393458393458393,1,0
45,0.1413848631239936,1,1
46,0.5,1,1
47,0.13333333333333333,0,0
48,0.13333404470911017,1,0
49,0.8131674769436706,0,0
50,0.13599437224429414,0,0
51,0.5,0,0
52,0.16859897333166401,1,1
53,0.13333333333333333,0,0
54,0.13999880004266754,0,0
55,0.13393458393458393,0,1
56,0.8541353383458649,0,1
57,0.5,0,1
58,0.1420764452534955,0,0
59,0.8030453632230085,0,0
60,0.1838383838383838,1,1
61,0.5,0,0
62,0.5,0,0
63,0.13342650103519668,0,0
64,0.16723246186537152,0,0
65,0.13427654027925415,0,0
66,0.8620546523694221,0,0
67,0.13393458393458393,0,1
68,0.13368792595523893,0,0
69,0.18027581102537674,0,1
70,0.5,1,1
71,0.8572720388846257,0,0
72,0.5,1,0
73,0.5,1,1
74,0.196076528096574,0,0
75,0.8515264211655347,0,1
76,0.1367080472026729,0,0
77,0.13333333333333333,0,0
78,0.5,0,0
79,0.16859897333166401,1,1
80,0.14013471410218142,0,0
81,0.14910775904564721,0,0
82,0.19695463677699027,0,0
83,0.5,1,1
84,0.17830138735099535,0,0
85,0.5,0,1
86,0.13393458393458393,0,1
87,0.14179555581482778,1,1
88,0.5,0,0
89,0.15213038658867276,0,0
90,0.13333333333333333,1,0
91,0.8386175419112586,0,0
92,0.13350877031724026,0,0
93,0.5,0,1
94,0.837602454828501,1,1
95,0.14697081859171898,0,0
96,0.8654069035021419,1,1
97,0.8389950350095478,0,0
98,0.8342170376733341,0,0
99,0.13393458393458393,1,1
100,0.5,0,0
101,0.14934376743582023,0,0
102,0.19952894271190252,1,0
103,0.1350162007382028,0,0
104,0.1355916892502258,1,0
105,0.14188438920536278,0,0
106,0.5,0,0
107,0.1820957875140071,0,0
108,0.13752120815443156,0,0
109,0.13349326090448446,0,0
110,0.13333342584882968,0,0
111,0.13334342696416335,0,0
112,0.1496377399415435,0,0
113,0.5,1,0
114,0.13393458393458393,0,1
115,0.1652087203779301,0,0
116,0.13333333333333333,0,0
117,0.13393458393458393,0,0
118,0.13333382221113235,0,0
119,0.13376620813161727,0,0
120,0.8224293185482285,1,1
121,0.13435494682836768,0,0
122,0.14910775904564721,0,0
123,0.13333333333333333,0,0
124,0.1333333813045506,0,0
125,0.17249322493224922,1,0
126,0.5,0,0
127,0.8178714416896234,0,0
128,0.5710103532502615,0,1
129,0.15527095745747418,0,0
130,0.1886141340411413,0,0
131,0.1355916892502258,0,0
132,0.8620546523694221,0,0
133,0.13338212081263923,0,0
134,0.13828414681090023,0,0
135,0.13574133492570006,0,0
136,0.8666666666666665,0,1
137,0.18225177711534052,0,0
138,0.8571003401360545,0,0
139,0.14910775904564721,0,0
140,0.8616283270191619,0,0
141,0.14339416983523445,0,1
142,0.49999999999999983,0,1
143,0.8177482228846599,0,0
144,0.5,0,0
145,0.8541866656836004,0,0
146,0.5,0,0
147,0.8437532283145162,0,0
148,0.8620546523694221,0,1
149,0.5,0,0
150,0.5,0,0
151,0.5,0,0
152,0.8620546523694221,1,1
153,0.5,0,1
154,0.838641871521003,0,0
155,0.13417928874904042,0,0
156,0.8194895688456192,0,0
157,0.8553115264797506,0,0
158,0.1496732026143791,1,1
159,0.8469919361605297,0,0
160,0.134970663160643,1,0
161,0.13445078158005916,0,0
162,0.13662678062678063,0,0
163,0.8463791652527989,0,0
164,0.16621193329051864,0,0
165,0.5,0,0
166,0.5,0,0
167,0.1453659732621642,0,0
168,0.1355916892502258,0,0
169,0.13393458393458393,0,1
170,0.5,0,0
171,0.5,0,0
172,0.8016454247542225,0,1
173,0.1355916892502258,0,0
174,0.7884722674678251,1,1
175,0.13348966911830495,0,0
176,0.13338369702913652,0,0
177,0.5,1,1
178,0.8642341342653266,0,0
179,0.18911741662255174,0,0
180,0.8397670179182789,0,0
181,0.13517962805225342,0,0
182,0.14910775904564721,0,0
183,0.1402466677728002,0,0
184,0.13393458393458393,1,1
185,0.8541353383458649,0,0
186,0.8297815890000774,1,1
187,0.5,1,1
188,0.8637582973828011,0,0
189,0.16369764289920208,0,0
190,0.13394223883852072,0,0
191,0.18549410437532565,0,0
192,0.5,0,0
193,0.8620546523694221,1,0
194,0.5,0,0
195,0.1355916892502258,0,0
196,0.5000000000000001,0,1
197,0.19109660246045604,1,1
198,0.13389293221206836,1,0
199,0.13356198773262895,0,0
200,0.34173441734417365,1,1
201,0.1379006927126628,0,0
202,0.1413848631239936,1,1
203,0.19695463677699027,1,0
204,0.8474002188287906,0,0
205,0.13333580886941374,0,0
206,0.197817461637098,0,0
207,0.8597533322271996,0,0
208,0.5,1,0
209,0.5,0,0
210,0.13393458393458393,0,1
211,0.13388237633888628,0,0
212,0.13334760622855635,0,0
213,0.1413848631239936,0,0
214,0.8186244379107579,0,0
215,0.5,0,0
216,0.13367283891926152,0,0
217,0.5,1,1
218,0.13393458393458393,0,1
219,0.13393458393458393,1,1
220,0.8620546523694221,0,0
221,0.14378776832204954,0,0
222,0.8484176178023892,0,1
223,0.1436024724475568,0,0
224,0.5,0,0
225,0.13333357401386695,0,0
226,0.1371486764507335,0,0
227,0.13393458393458393,0,1
228,0.13339264892984504,0,0
229,0.13337886058345194,1,0
230,0.13393458393458393,0,1
231,0.13426346833610153,0,0
232,0.5,0,0
233,0.5,0,0
234,0.13367604562737642,1,0
235,0.13435355703855284,0,0
236,0.8597533322271996,0,0
237,0.5,0,0
238,0.8508922409543522,1,1
239,0.13812260536398466,1,1
240,0.14325396825396824,0,0
241,0.13336329884271136,0,0
242,0.14526703160759571,0,0
243,0.13333333333333333,0,0
244,0.13387107104604898,0,0
245,0.8261658480497027,1,1
246,0.13393458393458393,0,0
247,0.13342446451694084,0,0
248,0.1496732026143791,0,1
249,0.5,1,0
250,0.5,0,0
251,0.13459309649785842,0,0
252,0.1333369891403465,0,0
253,0.1339549398340572,0,0
254,0.5903356388909827,1,1
255,0.5,0,0
256,0.8398828818720944,0,1
257,0.13337222353297778,0,0
258,0.5,0,0
259,0.859467934850454,0,0
260,0.8597533322271996,0,0
261,0.5,0,0
262,0.13361947079573455,0,0
263,0.13796404890168004,0,0
264,0.13352607300441235,0,0
265,0.5,0,0
266,0.17997416020671841,0,0
267,0.13343138415368774,0,0
268,0.1355916892502258,1,0
269,0.13341209844241786,0,0
270,0.8620546523694221,1,1
271,0.135145730013927,0,0
272,0.13393458393458393,0,1
273,0.5,0,1
274,0.5,1,1
275,0.5,0,0
276,0.5,1,1
277,0.8574766916810984,1,0
278,0.1774424030329543,1,1
279,0.5,1,0
280,0.13393458393458393,0,0
281,0.5,1,0
282,0.5,1,0
283,0.8216743944839898,1,1
284,0.8269841269841268,0,0
285,0.8598988994489254,0,0
286,0.1355916892502258,0,1
287,0.8220718336394894,0,1
288,0.5,0,0
289,0.1342477230884299,0,0
290,0.843684500827358,0,1
291,0.18225177711534052,0,0
292,0.8086016526496692,0,1
293,0.8620546523694221,0,0
294,0.13334102675433157,0,0
295,0.13393458393458393,1,1
296,0.8269841269841268,1,1
297,0.5,1,0
298,0.13404352868039118,1,0
299,0.8286488669321144,1,0
300,0.13333333333333333,0,0
301,0.13333333333333333,0,0
302,0.16859897333166401,0,0
303,0.1369755828740992,0,0
304,0.13393458393458393,0,1
305,0.13717465710065413,0,0
306,0.5,0,0
307,0.5,0,0
308,0.16227383709051704,0,0
309,0.14234519558875053,0,0
310,0.49999999999999994,1,1
311,0.1452395424868097,0,0
312,0.8600718462154583,0,0
313,0.5,0,0
314,0.8620546523694221,1,0
315,0.5,0,0
316,0.8620546523694221,1,1
317,0.4999999999999997,1,1
318,0.1413848631239936,1,0
319,0.1334630790936513,0,0
320,0.8639576184456083,0,0
321,0.1355916892502258,0,0
322,0.13333333333333333,0,0
323,0.8597533322271996,0,0
324,0.13333333333333333,0,0
325,0.13333333333333333,0,0
326,0.8097833825683945,0,0
327,0.13393458393458393,1,1
328,0.13393458393458393,0,1
329,0.8573358909799568,1,1
330,0.13462959829050786,0,0
331,0.19695463677699027,0,1
332,0.8620546523694221,1,0
333,0.1334002578304049,0,0
334,0.8620546523694221,0,0
335,0.1336635625123836,0,0
336,0.8571003401360545,0,1
337,0.8129511914055242,1,1
338,0.13393458393458393,0,0
339,0.14586466165413536,0,0
340,0.5,0,0
341,0.19114620053576267,0,0
342,0.8308263473053887,1,0
343,0.8415816884496179,0,0
344,0.1355916892502258,1,0
345,0.19313828028282096,0,0
346,0.5,0,0
347,0.5,0,0
348,0.8129511914055242,0,0
349,0.8620546523694221,0,0
350,0.13333468883797045,0,0
351,0.13393458393458393,0,1
352,0.8620546523694221,0,0
353,0.1496732026143791,0,1
354,0.13498231960967103,1,0
355,0.13335470766465435,0,0
356,0.5,0,0
357,0.13333333333333333,0,0
358,0.19695463677699027,0,0
359,0.13333739019071594,0,0
360,0.8620546523694221,1,1
361,0.13812260536398466,0,1
362,0.8269841269841268,0,1
363,0.5,0,0
364,0.13372863764070075,0,0
365,0.5,0,0
366,0.15564598467912766,0,0
367,0.5,1,1
368,0.13393458393458393,1,1
369,0.1443028336714504,0,0
370,0.8620546523694221,0,0
371,0.8171085095802249,1,0
372,0.13333333333333333,0,0
373,0.13393458393458393,0,1
374,0.1413848631239936,0,1
375,0.5,0,0
376,0.41913391469954364,0,1
377,0.5,0,0
378,0.13393458393458393,0,1
379,0.5,0,0
380,0.13336594678464045,0,0
381,0.13333731956340839,1,0
382,0.1339006464181351,0,0
383,0.1838383838383838,0,1
384,0.13607791332922572,0,0
385,0.8030453632230085,0,0
386,0.13638527459729302,0,0
387,0.8541353383458649,0,0
388,0.8614696893496181,0,0
389,0.8620546523694221,1,1
390,0.1496732026143791,1,1
391,0.13421053121690352,0,0
392,0.1355916892502258,0,0
393,0.13333333333333333,0,0
394,0.14673661704486968,0,0
395,0.5,1,1
396,0.15039093873378045,0,0
397,0.16023298208172165,1,0
398,0.8620546523694221,0,0
399,0.13350195457762337,1,0
400,0.13390917422619672,0,0
401,0.13336178655626452,0,0
402,0.19633421712407448,0,0
403,0.5,0,0
404,0.13333333333333333,0,0
405,0.5,0,0
406,0.19695463677699027,0,0
407,0.5,1,1
408,0.6687332808161645,1,1
409,0.13393458393458393,0,0
410,0.1838383838383838,1,1
411,0.13333354769157463,0,0
412,0.13393458393458393,1,1
413,0.13377347793232366,0,0
414,0.8314010266683363,0,0
415,0.14080406837100648,1,0
416,0.13994010677344013,1,0
417,0.8571003401360545,1,1
418,0.13393458393458393,0,1
419,0.13333638318717705,0,0
420,0.5,1,0
421,0.5,1,0
422,0.13393458393458393,0,1
423,0.4717144985325923,0,0
424,0.13374755620578907,0,0
425,0.13367371205573453,0,0
426,0.5,0,0
427,0.8566451606685426,0,0
428,0.13342201851626265,0,0
429,0.15225476845287625,0,1
430,0.8538534422617957,0,0
431,0.5,0,0
432,0.1355916892502258,0,0
433,0.5,0,0
434,0.5,0,0
435,0.5,1,0
436,0.15351842857870696,0,0
437,0.14419685832520784,0,0
438,0.5,0,0
439,0.13333333333333333,1,0
440,0.13402068446439308,0,0
441,0.13338894099936308,0,0
442,0.17080018236722136,0,0
443,0.8314010266683363,1,1
444,0.5,0,0
445,0.13431964032122648,0,0
446,0.5,0,0
447,0.8620546523694221,1,0
448,0.1592624594783639,0,0
449,0.13393458393458393,0,1
450,0.1351808150437561,0,0
451,0.1545344409830391,0,1
452,0.5,0,0
453,0.13351464821396303,0,0
454,0.5,1,1
455,0.13464800380314212,0,0
456,0.1714207012371883,0,0
457,0.1413848631239936,0,0
458,0.1761904761904762,0,1
459,0.1383309911395013,0,0
460,0.14356664317265,0,0
461,0.8620580287929126,1,0
462,0.1348593156972559,0,0
463,0.8371934107310954,0,0
464,0.5,0,0
465,0.5,0,0
466,0.5,0,0
467,0.8356669249978471,0,0
468,0.8620546523694221,0,0
469,0.13333490097968478,0,0
470,0.13333333333333333,0,0
471,0.1413848631239936,0,1
472,0.5,0,0
473,0.5,0,1
474,0.1443554555180898,0,0
475,0.8620546523694221,1,0
476,0.8314010266683363,0,0
