category,0,1,bad_rate,column
327680,0,1,1.0,X1
740000,1,1,0.5,X1
40000,138,92,0.4,X1
10000,296,197,0.3995943204868154,X1
20000,1278,698,0.3532388663967611,X1
30000,1042,568,0.3527950310559006,X1
720000,2,1,0.3333333333333333,X1
70000,521,210,0.2872777017783858,X1
550000,15,6,0.2857142857142857,X1
60000,592,233,0.2824242424242424,X1
50000,2480,885,0.26300148588410105,X1
100000,776,272,0.2595419847328244,X1
90000,485,166,0.25499231950844853,X1
680000,3,1,0.25,X1
120000,547,179,0.2465564738292011,X1
80000,1204,363,0.23165283982131463,X1
140000,579,170,0.22696929238985314,X1
110000,456,132,0.22448979591836735,X1
130000,572,157,0.21536351165980797,X1
190000,180,49,0.21397379912663755,X1
160000,557,137,0.19740634005763688,X1
220000,380,89,0.18976545842217485,X1
600000,13,3,0.1875,X1
240000,509,110,0.1777059773828756,X1
180000,819,176,0.17688442211055277,X1
200000,1258,270,0.17670157068062828,X1
360000,727,154,0.17480136208853575,X1
300000,459,95,0.17148014440433212,X1
150000,923,187,0.16846846846846847,X1
260000,434,87,0.16698656429942418,X1
710000,5,1,0.16666666666666666,X1
590000,5,1,0.16666666666666666,X1
450000,135,26,0.16149068322981366,X1
210000,613,117,0.16027397260273973,X1
410000,66,12,0.15384615384615385,X1
230000,624,113,0.15332428765264586,X1
290000,295,53,0.15229885057471265,X1
340000,185,32,0.14746543778801843,X1
170000,454,78,0.14661654135338345,X1
250000,299,51,0.1457142857142857,X1
440000,71,12,0.14457831325301204,X1
630000,6,1,0.14285714285714285,X1
320000,268,44,0.14102564102564102,X1
280000,424,69,0.13995943204868155,X1
350000,199,32,0.13852813852813853,X1
470000,69,11,0.1375,X1
380000,136,20,0.1282051282051282,X1
460000,70,10,0.125,X1
490000,56,8,0.125,X1
330000,152,21,0.12138728323699421,X1
430000,73,10,0.12048192771084337,X1
270000,210,28,0.11764705882352941,X1
400000,240,31,0.11439114391143912,X1
370000,63,8,0.11267605633802817,X1
500000,641,81,0.11218836565096953,X1
620000,8,1,0.1111111111111111,X1
420000,150,18,0.10714285714285714,X1
510000,17,2,0.10526315789473684,X1
390000,156,18,0.10344827586206896,X1
560000,9,1,0.1,X1
530000,9,1,0.1,X1
520000,18,2,0.1,X1
310000,245,27,0.09926470588235294,X1
580000,10,1,0.09090909090909091,X1
480000,73,6,0.0759493670886076,X1
1000000,1,0,0.0,X1
16000,2,0,0.0,X1
650000,3,0,0.0,X1
570000,8,0,0.0,X1
540000,6,0,0.0,X1
640000,7,0,0.0,X1
610000,11,0,0.0,X1
690000,1,0,0.0,X1
700000,8,0,0.0,X1
660000,3,0,0.0,X1
670000,3,0,0.0,X1
730000,2,0,0.0,X1
760000,1,0,0.0,X1
750000,4,0,0.0,X1
780000,2,0,0.0,X1
800000,2,0,0.0,X1
1,9015,2873,0.2416722745625841,X2
2,14349,3763,0.20776280918727916,X2
3,3680,1237,0.2515761643278422,X3
2,10700,3330,0.23734853884533144,X3
1,8549,2036,0.19234766178554558,X3
6,43,8,0.1568627450980392,X3
5,262,18,0.06428571428571428,X3
4,116,7,0.056910569105691054,X3
0,14,0,0.0,X3
3,239,84,0.26006191950464397,X4
1,10453,3206,0.23471703638626545,X4
2,12623,3341,0.20928338762214985,X4
0,49,5,0.09259259259259259,X4
73,1,3,0.75,X5
61,35,21,0.375,X5
60,44,23,0.34328358208955223,X5
72,2,1,0.3333333333333333,X5
75,2,1,0.3333333333333333,X5
67,11,5,0.3125,X5
22,391,169,0.30178571428571427,X5
64,22,9,0.2903225806451613,X5
66,18,7,0.28,X5
46,413,157,0.2754385964912281,X5
56,129,49,0.2752808988764045,X5
55,152,57,0.2727272727272727,X5
24,827,300,0.26619343389529726,X5
23,684,247,0.2653061224489796,X5
49,333,119,0.26327433628318586,X5
51,252,88,0.25882352941176473,X5
63,23,8,0.25806451612903225,X5
52,226,78,0.2565789473684211,X5
25,884,302,0.25463743676222594,X5
58,91,31,0.2540983606557377,X5
59,62,21,0.25301204819277107,X5
50,310,101,0.24574209245742093,X5
47,381,120,0.23952095808383234,X5
42,609,185,0.23299748110831234,X5
44,538,162,0.23142857142857143,X5
36,854,254,0.2292418772563177,X5
53,251,74,0.2276923076923077,X5
54,191,56,0.22672064777327935,X5
41,639,185,0.22451456310679613,X5
43,520,150,0.22388059701492538,X5
48,362,104,0.22317596566523606,X5
57,95,27,0.22131147540983606,X5
37,812,229,0.21998078770413065,X5
40,683,187,0.2149425287356322,X5
27,1164,313,0.21191604603926878,X5
21,53,14,0.208955223880597,X5
39,755,199,0.20859538784067086,X5
65,19,5,0.20833333333333334,X5
38,750,194,0.2055084745762712,X5
35,887,226,0.20305480682839172,X5
28,1123,286,0.20298083747338538,X5
26,1003,253,0.2014331210191083,X5
70,8,2,0.2,X5
68,4,1,0.2,X5
