feature,levels,chi2,dof
X12,22723,22538.26282481225,22722
X13,22346,22220.160532368536,22345
X14,22026,21948.117500702545,22025
X15,21548,21490.054055065288,21547
X16,21010,20941.894676673866,21009
X17,20604,20539.776536526657,20603
X18,7943,7109.218638207041,7942
X19,7899,6700.578971859607,7898
X20,7518,6636.210262466331,7517
X23,6939,6188.916846742256,6938
X21,6937,6077.420898874676,6936
X22,6897,6074.352701023159,6896
X6,11,5365.964977413581,10
X7,11,3474.466790416856,10
X8,11,2622.4621276828025,10
X9,11,2341.469945438205,10
X10,10,2197.694900930992,9
X11,10,1886.835309001187,9
X1,81,1010.0184925266558,80
X3,7,163.21655786997073,6
X5,56,158.55290013282718,55
X2,2,47.90543311657916,1
X4,4,35.66239583433609,3
